id,speed,direction,lon,lat
1,0,162,116.409182,40.03644
2,12,134,116.4095,40.036233
3,0,148,116.411212,40.031575
4,0,148,116.411165,40.031468
5,4,0,116.411205,40.031408
6,20,166,116.411433,40.030865
7,18,156,116.411403,40.029395
8,40,180,116.411458,40.0281
9,91,182,116.411212,40.017735
10,71,172,116.410212,40.007073
11,0,172,116.410817,40.001957
12,1,172,116.410967,39.997593
13,60,184,116.41075,39.995393
14,20,184,116.410505,39.993557
15,46,176,116.411285,39.975238
16,61,178,116.411715,39.968775
17,0,178,116.411995,39.968277
18,4,0,116.411973,39.968083
19,37,90,116.412473,39.967813
20,18,98,116.41813,39.967793
21,54,88,116.419792,39.967805
22,68,96,116.429093,39.968092
23,73,130,116.439087,39.962433
24,75,130,116.448328,39.956317
25,65,178,116.455598,39.949635
26,65,180,116.45536,39.94117
27,22,164,116.455387,39.94022
28,47,0,116.455882,39.941287
29,65,2,116.455892,39.94286
30,22,358,116.455873,39.943925
31,17,0,116.455873,39.944008
32,12,90,116.456275,39.944112
33,26,108,116.45669,39.943905
34,4,356,116.4569,39.943853
