id,speed,direction,lon,lat
1,19,83,116.609626,35.386448
2,10,99,116.61176,35.386355
3,24,100,116.613593,35.386091
4,6,100,116.61508,35.38586
5,32,193,116.615436,35.384785
6,55,194,116.614381,35.381553
7,47,190,116.613266,35.377386
8,29,189,116.612998,35.376116
9,42,185,116.612585,35.37315
10,23,180,116.61238,35.36992
11,49,178,116.612385,35.367506
12,16,176,116.61246,35.365451
13,44,173,116.612718,35.363033
14,16,176,116.613021,35.36031
15,29,177,116.61313,35.358818
16,16,176,116.613231,35.357426
17,28,176,116.613378,35.355393
18,6,181,116.613433,35.353961
19,30,172,116.61357,35.353103
20,32,172,116.614016,35.350268
21,33,170,116.614368,35.348693
22,59,165,116.61533,35.345146
23,58,162,116.616901,35.340786
24,51,177,116.617778,35.336676
25,24,177,116.617978,35.33324
26,30,178,116.618051,35.33204
27,51,177,116.618211,35.329001
28,68,172,116.618761,35.324493
29,62,176,116.619323,35.319551
30,55,176,116.619641,35.315585
31,62,176,116.619998,35.311195
32,68,176,116.620265,35.306408
33,54,176,116.620546,35.30158
34,10,176,116.6211,35.299698
35,11,176,116.621153,35.298831
36,14,180,116.621203,35.297953
37,22,174,116.6213,35.296683
38,10,87,116.621873,35.295656
39,9,161,116.622755,35.295446
40,16,279,116.62183,35.294721
41,19,261,116.62003,35.294606
42,11,263,116.619073,35.2941
43,22,148,116.618951,35.293133
44,9,188,116.619953,35.292395
45,7,161,116.620191,35.291946
46,6,102,116.620228,35.291883
47,0,135,116.620311,35.291868
48,10,296,116.620001,35.291976
49,11,313,116.619793,35.292581
50,20,342,116.618773,35.293435
51,8,84,116.618958,35.294103
52,17,82,116.620018,35.29458
53,16,80,116.622041,35.294718
54,23,261,116.622436,35.295455
55,17,335,116.621495,35.29618
56,21,6,116.621223,35.297558
57,18,355,116.621158,35.298806
58,12,328,116.621035,35.299918
59,51,357,116.620631,35.301963
60,64,358,116.620388,35.306595
61,6,358,116.620278,35.309996
62,0,353,116.620258,35.310425
63,61,357,116.61973,35.315905
64,71,355,116.619393,35.320343
65,75,352,116.618635,35.326018
66,63,357,116.618216,35.331368
67,56,357,116.618021,35.33451
68,49,351,116.61774,35.338515
69,32,343,116.617193,35.340286
70,63,343,116.615775,35.344025
71,62,349,116.614438,35.348825
72,20,359,116.613788,35.353263
73,0,355,116.613783,35.353293
74,0,355,116.613783,35.353293
75,54,357,116.613665,35.35462
76,72,356,116.61325,35.359851
77,57,354,116.612693,35.364805
78,24,359,116.612543,35.368526
79,44,359,116.612526,35.369913
80,46,5,116.61275,35.373518
81,35,11,116.613391,35.377395
82,23,10,116.613675,35.378501
83,50,14,116.614546,35.381655
84,38,14,116.615345,35.384236
85,21,278,116.615511,35.38583
86,0,272,116.614223,35.385963
87,28,277,116.613638,35.386081
88,11,276,116.611525,35.386403
89,17,257,116.609093,35.386441
90,7,89,116.609225,35.386601
91,8,359,116.609665,35.386941
