id,speed,direction,lon,lat
1,75,101,104.8860733,30.64202167
2,84,93,104.8902783,30.64170833
3,89,94,104.8949067,30.64148333
4,88,112,104.8988683,30.64064333
5,86,115,104.90296,30.63887167
6,70,107,104.906855,30.637525
7,64,106,104.910115,30.636725
8,77,106,104.91366,30.63582167
9,82,106,104.9177733,30.63473
10,77,116,104.9216317,30.6335
11,81,126,104.9250717,30.63151667
12,80,114,104.9286733,30.62956
13,78,102,104.9326567,30.6285
14,78,112,104.9365967,30.62754333
15,83,123,104.9402367,30.62578833
16,88,111,104.9442067,30.62393833
17,80,104,104.9484583,30.62286667
18,80,104,104.95254,30.62197667
19,79,104,104.956595,30.62108833
20,76,108,104.96053,30.62015333
21,82,113,104.96439,30.618835
22,84,101,104.9684917,30.61757
23,81,87,104.9728367,30.617285
24,77,88,104.9769817,30.617535
25,77,101,104.980955,30.617215
26,81,110,104.9849083,30.616095
27,87,112,104.9890083,30.614665
28,80,78,105.00662,30.61165
29,81,78,105.01079,30.612375
30,85,78,105.01509,30.613125
31,92,74,105.0196283,30.614015
32,90,68,105.0241617,30.61539
33,83,68,105.0284383,30.61683167
34,74,75,105.0322533,30.61802833
35,78,93,105.03576,30.61829667
36,80,96,105.0399567,30.6179
37,80,92,105.044195,30.61755833
38,80,84,105.0483917,30.61764833
39,75,77,105.052415,30.61823833
40,72,78,105.056195,30.618985
41,73,83,105.059955,30.61951
42,74,84,105.06376,30.61982167
43,73,84,105.0676167,30.62013167
44,75,84,105.0714533,30.62044
45,77,84,105.075445,30.620765
46,76,77,105.0794583,30.62121167
47,76,64,105.0832367,30.62238333
48,71,63,105.08669,30.62386167
49,78,66,105.090225,30.625335
50,75,85,105.0941417,30.626195
51,70,95,105.0979117,30.62608
52,70,86,105.1015467,30.62599
53,78,75,105.105365,30.62652833
54,78,79,105.10934,30.62733333
55,79,84,105.113455,30.627805
56,70,85,105.11738,30.62810833
57,66,80,105.12093,30.62849667
58,68,73,105.1277317,30.63002167
59,65,82,105.131145,30.63074167
60,61,99,105.1344117,30.63071667
61,59,107,105.13746,30.630015
62,58,107,105.1403833,30.62920167
63,55,107,105.1432483,30.62840833
64,54,104,105.1459833,30.62771667
65,60,98,105.1488917,30.62719167
66,67,97,105.1521717,30.62678333
67,69,98,105.1557417,30.62635833
68,66,102,105.1593117,30.62580667
69,59,105,105.16245,30.62515167
70,55,105,105.16534,30.62444167
71,57,100,105.1681883,30.62381167
72,57,90,105.1711467,30.62358
73,63,87,105.1743583,30.62366667
74,63,92,105.1776667,30.62373167
75,62,105,105.180885,30.62331667
76,64,112,105.1839917,30.62234333
77,61,112,105.1870417,30.62128333
78,59,112,105.1899917,30.620245
79,57,106,105.19281,30.61935833
80,59,100,105.1957983,30.618765
81,61,96,105.1989367,30.61840833
82,59,98,105.2021,30.61806333
83,69,101,105.2054067,30.61757667
84,80,103,105.209255,30.61681833
85,77,103,105.2132967,30.615975
86,70,116,105.2204233,30.614115
87,75,121,105.2237717,30.61244167
88,70,121,105.2269467,30.610765
89,48,122,105.22974,30.609345
90,43,144,105.2307867,30.60853167
91,43,167,105.2312433,30.607645
92,33,190,105.2312717,30.60697
93,11,178,105.2311933,30.60608
